size,iterations,useIntList,sort
1000,5,0.01,0
2000,5,0.02,0
3000,5,0.04,0
4000,5,0.07,0
5000,5,0.11,0
6000,5,0.15,0
7000,5,0.21,0
8000,5,0.27,0
9000,5,0.34,0
10000,5,0.42,0
15000,5,0.94,0
20000,5,1.7,0
25000,5,2.6,0
30000,5,4.1,0
35000,5,5.2,0
40000,5,6.8,0
45000,5,8.7,0
50000,5,11,0.01
55000,5,13,0.01
60000,5,16,0.01
65000,5,19,0.01
70000,5,21,0.01
75000,5,24,0.01
80000,5,28,0.01
85000,5,31,0.01
90000,5,35,0.01
95000,5,39,0.01
100000,5,43,0.02
